nome,id
cimento ensacado,1
"gasolina, diesel s500, diesel s10, etanol",2
grao,3
container,4
"gasolina, diesel s500 e etanol",5
fertilizantes,6
"gasolina, diesel s500, s10",7
acucar,8
"gasolina, diesel s500, etanol, s10",9
b100,10
"gasolina, diesel s500, s10 e etanol",11
"gasolina, diesel s500 e s10",12
celulose,13
"gasolina, diesel s500, etanol",14
"gasolina, oleo diesel, etanol, biodiesel, s10",15
"gasolina, oleo diesel, etanol, s10",16
clinquer,17
