pátio,código,em_operação,auto_assistido,comprimento_útil_desvio,tempo_médio_licenc,id
bandeirantes,lbd,sim,nao,918.0,4.0,186.0
controlador jonas,llj,sim,nao,1149.0,4.0,187.0
cornelio procopio,lcp,sim,nao,1000.0,4.0,188.0
urai,lur,sim,nao,885.0,4.0,189.0
jataizinho,ljy,sim,nao,456.0,4.0,190.0
londrina,lld,sim,sim,1350.0,4.0,191.0
rolandia,lrl,sim,nao,1486.0,4.0,192.0
arapongas,lag,sim,nao,1385.0,4.0,193.0
aricanduva,lcv,sim,nao,1690.0,4.0,194.0
mandaguari,lmi,sim,nao,1536.0,4.0,195.0
marialva,lma,sim,nao,1514.0,4.0,196.0
sarandi,lsd,sim,nao,2556.0,4.0,197.0
eng. vicente montanha,lmn,sim,nao,1420.0,4.0,198.0
cianorte,lcy,nao,nao,200.0,0.0,199.0
itaboa,zxz,sim,nao,208.0,0.0,200.0
apiai,zza,sim,nao,2342.0,4.0,201.0
tatui,zty,sim,nao,740.0,3.0,202.0
angatuba,zat,sim,nao,981.0,4.0,203.0
buri,zbz,sim,nao,918.0,4.0,204.0
nova itapeva,znw,sim,nao,1996.0,4.0,205.0
canitar,zkc,sim,nao,1465.0,4.0,206.0
presidente epitacio,zpe,nao,nao,912.0,4.0,207.0
pinhal,npi,sim,nao,1079.0,4.0,208.0
val de serra,nvs,sim,nao,1114.0,4.0,209.0
guassupi,ngu,sim,nao,1092.0,4.0,210.0
j.de castilhos,njc,sim,nao,571.0,4.0,211.0
tupancireta,ntp,sim,nao,1279.0,4.0,212.0
benjamin not,nbn,sim,nao,1490.0,4.0,213.0
canabarro,ncn,sim,nao,1145.0,4.0,214.0
sao lucas,nsl,sim,nao,1165.0,4.0,215.0
umbu,nub,sim,nao,1205.0,4.0,216.0
